"","name","number"
"1","displeasing_waterdragons",0.820946294115856
"2","frangible_caimanlizard",0.647060193819925
"3","nitpicking_nabarlek",0.78293276228942
"4","undivined_axisdeer",0.553036311641335
"5","crazy_cricket",0.529719580197707
"6","uncongested_gar",0.789356231689453
"7","pasty_tapaculo",0.7323137386702
"8","auspicial_europeanfiresalamander",0.692731556482613
"9","conservable_mallard",0.8612094768323
"10","worldlywise_asianwaterbuffalo",0.518634263193235
"11","fungoid_pitbull",0.662005076417699
