"","name","number"
"1","contributable_neonblueguppy",0.981727862264961
"2","unspiritual_fawn",0.944041808135808
"3","unspherical_iberianchiffchaff",0.794863823568448
"4","chatty_beardeddragon",0.974687897600234
"5","inexperienced_wrenchbird",0.501969880890101
"6","minimum_bagworm",0.810397262685001
"7","semidry_shark",0.683403422823176
"8","contemplable_tamarin",0.929720221785828
"9","taxidermal_minnow",0.811859695473686
"10","wearing_springbok",0.785878912778571
"11","declinational_deermouse",0.988902155542746
"12","hyperbrutal_newtnutria",0.613952909596264
"13","bediasite_bedbug",0.710185730131343
