"","name","number"
"1","contributable_neonblueguppy",1.17807343471795
"2","radiation_gartersnake",0.356412882171571
"3","noble_sora",0.138100890442729
"4","compressive_bedbug",0.195841046143323
"5","unspiritual_fawn",1.13285016976297
"6","unspherical_iberianchiffchaff",0.953836588282138
"7","chatty_beardeddragon",1.16962547712028
"8","sulfurous_flatcoatretriever",0.41890609273687
"9","inexperienced_wrenchbird",0.602363857068121
"10","minimum_bagworm",0.972476715222001
"11","misty_affenpinscher",0.00853084567934275
"12","depraved_blackandtancoonhound",0.0176326931454241
"13","semidry_shark",0.820084107387811
"14","contemplable_tamarin",1.11566426614299
"15","gray_indigobunting",0.330481438245624
"16","taxidermal_minnow",0.974231634568423
"17","wearing_springbok",0.943054695334285
"18","declinational_deermouse",1.1866825866513
"19","hyperbrutal_newtnutria",0.736743491515517
"20","bediasite_bedbug",0.852222876157612
