"name","number"
"displeasing_waterdragons",0.820946294115856
"frangible_caimanlizard",0.647060193819925
"nitpicking_nabarlek",0.78293276228942
"undivined_axisdeer",0.553036311641335
"crazy_cricket",0.529719580197707
"uncongested_gar",0.789356231689453
"unsuspecting_africanclawedfrog",0.023331202333793
"potential_galapagostortoise",0.477230065036565
"pasty_tapaculo",0.7323137386702
"auspicial_europeanfiresalamander",0.692731556482613
"crooked_husky",0.477619622135535
"conservable_mallard",0.8612094768323
"psychopharmacological_ibisbill",0.438097107224166
"gastric_bobolink",0.244797277031466
"serpentine_slug",0.0706790471449494
"kimberlite_nighthawk",0.0994661601725966
"releasable_sanderling",0.31627170718275
"worldlywise_asianwaterbuffalo",0.518634263193235
"fungoid_pitbull",0.662005076417699
"sightly_gonolek",0.406830187188461
