"name","number"
"contributable_neonblueguppy",0.981727862264961
"unspiritual_fawn",0.944041808135808
"unspherical_iberianchiffchaff",0.794863823568448
"chatty_beardeddragon",0.974687897600234
"inexperienced_wrenchbird",0.501969880890101
"minimum_bagworm",0.810397262685001
"semidry_shark",0.683403422823176
"contemplable_tamarin",0.929720221785828
"taxidermal_minnow",0.811859695473686
"wearing_springbok",0.785878912778571
"declinational_deermouse",0.988902155542746
"hyperbrutal_newtnutria",0.613952909596264
"bediasite_bedbug",0.710185730131343
